Time:14:20:58:169  [-999999] Print Robot Cfg:
Time:14:21:43:683  [20] 0
Time:14:21:48:410  [20] 1
Time:14:21:49:853  [18] Robot.WhereAngle 1
Time:14:21:49:854  [19] RopeEncLoc=-12.101,-2.786,5.069,-84.841,-17.710,-3.976,-5.034
Time:14:21:49:855  [20] Move.Joint RopeEncLoc
Time:14:21:58:652  [21] 0 -12.099,-2.785,5.068,-84.842,-17.709,-3.974,-5.034,0.000,0.000
Time:14:21:58:725  [22] 0
Time:14:21:58:750  [23] 0
Time:14:22:3:781  [23] 1
Time:14:22:4:642  [21] Robot.WhereAngle 1
Time:14:22:5:157  [22] RopeEncLoc=-4.812,9.147,7.722,-100.703,-39.196,-2.924,16.186
Time:14:22:5:158  [23] Move.Joint RopeEncLoc
Time:14:22:14:13  [24] 0 -4.810,9.147,7.721,-100.703,-39.194,-2.923,16.184,0.000,0.000
Time:14:22:14:89  [25] 0
Time:14:22:14:110  [26] 0
Time:14:22:18:469  [26] 1
Time:14:22:20:499  [24] Robot.WhereAngle 1
Time:14:22:20:500  [25] RopeEncLoc=-0.240,23.091,5.819,-109.649,-48.700,-7.476,27.835
Time:14:22:20:502  [26] Move.Joint RopeEncLoc
Time:14:22:28:722  [27] 0 -0.239,23.091,5.819,-109.649,-48.698,-7.474,27.834,0.000,0.000
Time:14:22:28:792  [28] 0
Time:14:22:28:808  [29] 0
Time:14:22:33:850  [29] 1
Time:14:22:34:812  [27] Robot.WhereAngle 1
Time:14:22:34:813  [28] RopeEncLoc=-10.961,18.215,6.987,-99.146,-27.162,-10.637,44.325
Time:14:22:34:814  [29] Move.Joint RopeEncLoc
Time:14:22:44:82  [30] 0 -10.960,18.215,6.986,-99.145,-27.161,-10.635,44.322,0.000,0.000
Time:14:22:44:160  [31] 0
Time:14:22:44:179  [32] 0
Time:14:22:49:445  [32] 1
Time:14:22:50:141  [30] Robot.WhereAngle 1
Time:14:22:50:142  [31] RopeEncLoc=-16.666,14.511,12.469,-97.407,-22.731,-2.363,69.038
Time:14:22:50:656  [32] Move.Joint RopeEncLoc
Time:14:22:59:688  [33] 0 -16.665,14.510,12.469,-97.408,-22.729,-2.362,69.036,0.000,0.000
Time:14:22:59:761  [34] 0
Time:14:22:59:785  [35] 0
Time:14:23:5:28  [35] 1
Time:14:23:5:991  [33] Robot.WhereAngle 1
Time:14:23:5:992  [34] RopeEncLoc=-11.501,15.234,10.804,-103.701,-14.711,1.594,44.812
Time:14:23:5:993  [35] Move.Joint RopeEncLoc
Time:14:23:15:273  [36] 0 -11.498,15.234,10.802,-103.701,-14.709,1.592,44.810,0.000,0.000
Time:14:23:15:343  [37] 0
Time:14:23:15:360  [38] 0
Time:14:23:20:603  [38] 1
Time:14:23:21:291  [36] Robot.WhereAngle 1
Time:14:23:21:807  [37] RopeEncLoc=-7.091,5.821,6.987,-93.371,-24.414,6.579,69.059
Time:14:23:21:808  [38] Move.Joint RopeEncLoc
Time:14:23:30:845  [39] 0 -7.090,5.821,6.985,-93.371,-24.412,6.578,69.058,0.000,0.000
Time:14:23:30:917  [40] 0
Time:14:23:30:931  [41] 0
Time:14:23:35:939  [41] 1
Time:14:23:37:186  [39] Robot.WhereAngle 1
Time:14:23:37:187  [40] RopeEncLoc=0.462,9.896,-2.834,-106.090,-14.804,7.525,48.008
Time:14:23:37:187  [41] Move.Joint RopeEncLoc
Time:14:23:46:175  [42] 0 0.461,9.896,-2.832,-106.089,-14.803,7.524,48.006,0.000,0.000
Time:14:23:46:267  [43] 0
Time:14:23:46:284  [44] 0
Time:14:23:51:157  [44] 1
Time:14:23:52:507  [42] Robot.WhereAngle 1
Time:14:23:52:508  [43] RopeEncLoc=6.706,-0.242,-0.520,-93.544,-4.039,8.365,28.565
Time:14:23:52:508  [44] Move.Joint RopeEncLoc
Time:14:24:1:379  [45] 0 6.706,-0.240,-0.519,-93.544,-4.038,8.365,28.563,0.000,0.000
Time:14:24:1:455  [46] 0
Time:14:24:1:477  [47] 0
Time:14:24:7:435  [47] 1
Time:14:24:7:819  [45] Robot.WhereAngle 1
Time:14:24:7:820  [46] RopeEncLoc=13.173,-15.296,-16.433,-57.966,-4.039,-11.275,52.901
Time:14:24:7:821  [47] Move.Joint RopeEncLoc
Time:14:24:17:678  [48] 0 13.173,-15.294,-16.431,-57.967,-4.037,-11.275,52.899,0.000,0.000
Time:14:24:17:752  [49] 0
Time:14:24:17:776  [50] 0
Time:14:24:23:310  [50] 1
Time:14:24:24:166  [48] Robot.WhereAngle 1
Time:14:24:24:167  [49] RopeEncLoc=5.923,-28.959,-16.433,-59.882,-25.510,-0.293,81.517
Time:14:24:24:167  [50] Move.Joint RopeEncLoc
Time:14:24:33:555  [51] 0 5.922,-28.957,-16.433,-59.882,-25.508,-0.292,81.516,0.000,0.000
Time:14:24:33:631  [52] 0
Time:14:24:33:651  [53] 0
Time:14:24:38:783  [53] 1
Time:14:24:40:29  [51] Robot.WhereAngle 1
Time:14:24:40:31  [52] RopeEncLoc=5.923,-14.438,-12.820,-74.805,-2.745,5.299,60.987
Time:14:24:40:31  [53] Move.Joint RopeEncLoc
Time:14:24:49:28  [54] 0 5.923,-14.436,-12.820,-74.804,-2.742,5.301,60.985,0.000,0.000
Time:14:24:49:97  [55] 0
Time:14:24:49:113  [56] 0
Time:14:24:54:312  [56] 1
Time:14:24:55:387  [54] Robot.WhereAngle 1
Time:14:24:55:387  [55] RopeEncLoc=9.779,4.033,-12.820,-91.327,-26.480,9.864,83.245
Time:14:24:55:388  [56] Move.Joint RopeEncLoc
Time:14:25:4:556  [57] 0 9.779,4.033,-12.818,-91.327,-26.478,9.864,83.243,0.000,0.000
Time:14:25:4:626  [58] 0
Time:14:25:4:642  [59] 0
Time:14:25:10:664  [57] Robot.WhereAngle 1
Time:14:25:10:665  [58] RopeEncLoc=26.003,9.057,-26.432,-98.591,-9.833,3.563,22.674
Time:14:25:10:666  [59] Move.Joint RopeEncLoc
Time:14:25:11:763  [59] 1
Time:14:25:21:996  [60] 0 26.003,9.057,-26.432,-98.590,-9.831,3.562,22.673,0.000,0.000
Time:14:25:22:70  [61] 0
Time:14:25:22:94  [62] 0
Time:14:25:27:649  [62] 1
Time:14:25:27:997  [60] Robot.WhereAngle 1
Time:14:25:28:511  [61] RopeEncLoc=35.986,9.057,-37.494,-99.813,-13.172,7.695,-6.244
Time:14:25:28:512  [62] Move.Joint RopeEncLoc
Time:14:25:37:894  [63] 0 35.986,9.057,-37.492,-99.812,-13.171,7.694,-6.244,0.000,0.000
Time:14:25:37:962  [64] 0
Time:14:25:37:980  [65] 0
Time:14:25:43:870  [63] Robot.WhereAngle 1
Time:14:25:44:384  [64] RopeEncLoc=-16.288,9.057,-8.784,-80.452,48.891,-23.282,-6.244
Time:14:25:44:385  [65] Move.Joint RopeEncLoc
Time:14:25:45:155  [65] 1
Time:14:25:55:398  [66] 0 -16.287,9.057,-8.784,-80.453,48.891,-23.281,-6.244,0.000,0.000
Time:14:25:55:470  [67] 0
Time:14:25:55:494  [68] 0
Time:14:26:1:739  [66] Robot.WhereAngle 1
Time:14:26:1:739  [67] RopeEncLoc=-25.538,-6.754,-8.784,-62.253,75.531,-44.210,-60.677
Time:14:26:1:740  [68] Move.Joint RopeEncLoc
Time:14:26:2:347  [68] 1
Time:14:26:12:590  [69] 0 -25.536,-6.752,-8.784,-62.253,75.531,-44.209,-60.677,0.000,0.000
Time:14:26:12:664  [70] 0
Time:14:26:12:685  [71] 0
Time:14:26:17:682  [71] 1
Time:14:26:19:65  [69] Robot.WhereAngle 1
Time:14:26:19:66  [70] RopeEncLoc=-29.539,-21.916,12.305,-62.253,75.531,-33.403,-71.855
Time:14:26:19:66  [71] Move.Joint RopeEncLoc
Time:14:26:27:927  [72] 0 -29.537,-21.915,12.305,-62.253,75.531,-33.400,-71.854,0.000,0.000
Time:14:26:28:2  [73] 0
Time:14:26:28:25  [74] 0
Time:14:26:33:536  [74] 1
Time:14:26:33:908  [72] Robot.WhereAngle 1
Time:14:26:34:421  [73] RopeEncLoc=-20.081,-6.159,10.848,-80.451,87.914,-5.179,-83.254
Time:14:26:34:421  [74] Move.Joint RopeEncLoc
Time:14:26:43:769  [75] 0 -20.079,-6.158,10.846,-80.450,87.914,-5.178,-83.253,0.000,0.000
Time:14:26:43:845  [76] 0
Time:14:26:43:865  [77] 0
Time:14:26:47:990  [77] 1
Time:14:26:50:261  [75] Robot.WhereAngle 1
Time:14:26:50:262  [76] RopeEncLoc=-31.983,-10.464,17.257,-82.597,84.552,-6.700,-86.843
Time:14:26:50:263  [77] Move.Joint RopeEncLoc
Time:14:26:58:223  [78] 0 -31.981,-10.462,17.257,-82.597,84.551,-6.698,-86.843,0.000,0.000
Time:14:26:58:296  [79] 0
Time:14:26:58:320  [80] 0
Time:14:27:2:298  [80] 1
Time:14:27:4:624  [78] Robot.WhereAngle 1
Time:14:27:4:625  [79] RopeEncLoc=-42.588,-13.775,21.263,-81.711,78.232,-13.101,-91.999
Time:14:27:4:626  [80] Move.Joint RopeEncLoc
Time:14:27:12:530  [81] 0 -42.586,-13.774,21.262,-81.711,78.232,-13.101,-91.998,0.000,0.000
Time:14:27:12:607  [82] 0
Time:14:27:12:628  [83] 0
Time:14:27:16:93  [83] 1
Time:14:27:18:964  [81] Robot.WhereAngle 1
Time:14:27:18:965  [82] RopeEncLoc=-49.243,-20.003,28.260,-76.781,81.582,-15.794,-93.529
Time:14:27:18:965  [83] Move.Joint RopeEncLoc
Time:14:27:26:337  [84] 0 -49.241,-20.001,28.260,-76.781,81.582,-15.793,-93.529,0.000,0.000
Time:14:27:26:409  [85] 0
Time:14:27:26:432  [86] 0
Time:14:27:30:421  [86] 1
Time:14:27:32:800  [84] Robot.WhereAngle 1
Time:14:27:32:801  [85] RopeEncLoc=-51.149,-25.900,38.995,-75.412,78.084,-14.422,-100.644
Time:14:27:32:801  [86] Move.Joint RopeEncLoc
Time:14:27:40:653  [87] 0 -51.148,-25.898,38.994,-75.412,78.084,-14.420,-100.644,0.000,0.000
Time:14:27:40:730  [88] 0
Time:14:27:40:750  [89] 0
Time:14:27:44:170  [89] 1
Time:14:27:47:140  [87] Robot.WhereAngle 1
Time:14:27:47:140  [88] RopeEncLoc=-54.040,-32.669,39.583,-69.447,77.552,-12.333,-103.451
Time:14:27:47:141  [89] Move.Joint RopeEncLoc
Time:14:27:54:403  [90] 0 -54.039,-32.666,39.582,-69.447,77.552,-12.331,-103.451,0.000,0.000
Time:14:27:54:474  [91] 0
Time:14:27:54:489  [92] 0
Time:14:27:58:324  [92] 1
Time:14:28:0:477  [90] Robot.WhereAngle 1
Time:14:28:0:478  [91] RopeEncLoc=-56.188,-23.191,39.583,-70.882,75.561,-15.531,-105.537
Time:14:28:0:479  [92] Move.Joint RopeEncLoc
Time:14:28:8:579  [93] 0 -56.187,-23.189,39.582,-70.882,75.561,-15.529,-105.537,0.000,0.000
Time:14:28:8:650  [94] 0
Time:14:28:8:665  [95] 0
Time:14:28:11:816  [95] 1
Time:14:28:14:794  [93] Robot.WhereAngle 1
Time:14:28:14:795  [94] RopeEncLoc=-58.066,-17.912,39.583,-72.514,72.110,-14.741,-108.053
Time:14:28:14:796  [95] Move.Joint RopeEncLoc
Time:14:28:22:60  [96] 0 -58.065,-17.910,39.582,-72.514,72.109,-14.741,-108.052,0.000,0.000
Time:14:28:22:138  [97] 0
Time:14:28:22:156  [98] 0
Time:14:28:25:642  [98] 1
Time:14:28:28:81  [96] Robot.WhereAngle 1
Time:14:28:28:595  [97] RopeEncLoc=-60.004,-10.844,39.583,-79.631,77.329,-17.839,-112.181
Time:14:28:28:596  [98] Move.Joint RopeEncLoc
Time:14:28:35:887  [99] 0 -60.002,-10.842,39.582,-79.632,77.329,-17.837,-112.181,0.000,0.000
Time:14:28:35:956  [100] 0
Time:14:28:35:972  [101] 0
Time:14:28:38:999  [101] 1
Time:14:28:41:914  [99] Robot.WhereAngle 1
Time:14:28:42:429  [100] RopeEncLoc=-63.478,-6.177,37.959,-82.929,74.898,-20.987,-115.448
Time:14:28:42:429  [101] Move.Joint RopeEncLoc
Time:14:28:49:243  [102] 0 -63.476,-6.175,37.958,-82.928,74.899,-20.987,-115.448,0.000,0.000
Time:14:28:49:314  [103] 0
Time:14:28:49:329  [104] 0
Time:14:28:52:325  [104] 1
Time:14:28:55:228  [102] Robot.WhereAngle 1
Time:14:28:55:728  [103] RopeEncLoc=-67.058,-2.953,38.207,-84.631,70.367,-21.962,-118.614
Time:14:28:55:729  [104] Move.Joint RopeEncLoc
Time:14:29:2:567  [105] 0 -67.056,-2.951,38.206,-84.630,70.367,-21.960,-118.614,0.000,0.000
Time:14:29:2:637  [106] 0
Time:14:29:2:654  [107] 0
Time:14:29:7:291  [107] 1
Time:14:29:9:27  [105] Robot.WhereAngle 1
Time:14:29:9:28  [106] RopeEncLoc=-68.344,-3.760,54.967,-84.631,70.367,-5.162,-115.017
Time:14:29:9:28  [107] Move.Joint RopeEncLoc
Time:14:29:17:545  [108] 0 -68.343,-3.758,54.966,-84.630,70.367,-5.159,-115.017,0.000,0.000
Time:14:29:17:617  [109] 0
Time:14:29:17:642  [110] 0
Time:14:29:20:280  [110] 1
Time:14:29:23:867  [108] Robot.WhereAngle 1
Time:14:29:23:868  [109] RopeEncLoc=-71.156,-4.962,55.330,-86.067,70.367,-7.126,-111.923
Time:14:29:23:868  [110] Move.Joint RopeEncLoc
Time:14:29:30:524  [111] 0 -71.156,-4.961,55.330,-86.067,70.367,-7.125,-111.923,0.000,0.000
Time:14:29:30:596  [112] 0
Time:14:29:30:610  [113] 0
Time:14:29:34:142  [113] 1
Time:14:29:36:690  [111] Robot.WhereAngle 1
Time:14:29:36:690  [112] RopeEncLoc=-65.970,2.403,55.330,-89.812,75.795,-5.260,-107.889
Time:14:29:36:691  [113] Move.Joint RopeEncLoc
Time:14:29:44:386  [114] 0 -65.968,2.403,55.330,-89.812,75.795,-5.258,-107.888,0.000,0.000
Time:14:29:44:461  [115] 0
Time:14:29:44:484  [116] 0
Time:14:29:48:93  [116] 1
Time:14:29:50:513  [114] Robot.WhereAngle 1
Time:14:29:50:514  [115] RopeEncLoc=-63.912,3.174,56.378,-90.485,83.736,-4.068,-102.954
Time:14:29:50:514  [116] Move.Joint RopeEncLoc
Time:14:29:58:337  [117] 0 -63.910,3.175,56.376,-90.485,83.736,-4.065,-102.954,0.000,0.000
Time:14:29:58:414  [118] 0
Time:14:29:58:434  [119] 0
Time:14:30:2:257  [119] 1
Time:14:30:4:809  [117] Robot.WhereAngle 1
Time:14:30:4:809  [118] RopeEncLoc=-57.385,4.104,56.652,-90.485,84.700,5.392,-99.910
Time:14:30:4:810  [119] Move.Joint RopeEncLoc
Time:14:30:12:501  [120] 0 -57.383,4.104,56.651,-90.486,84.700,5.392,-99.910,0.000,0.000
Time:14:30:12:584  [121] 0
Time:14:30:12:597  [122] 0
Time:14:30:15:828  [122] 1
Time:14:30:18:590  [120] Robot.WhereAngle 1
Time:14:30:18:591  [121] RopeEncLoc=-54.884,-1.582,55.911,-90.343,81.118,10.042,-96.435
Time:14:30:18:591  [122] Move.Joint RopeEncLoc
Time:14:30:26:72  [123] 0 -54.883,-1.579,55.911,-90.342,81.118,10.042,-96.435,0.000,0.000
Time:14:30:26:144  [124] 0
Time:14:30:26:168  [125] 0
Time:14:30:29:577  [125] 1
Time:14:30:32:386  [123] Robot.WhereAngle 1
Time:14:30:32:387  [124] RopeEncLoc=-48.186,-2.827,54.440,-89.508,78.669,13.931,-92.848
Time:14:30:32:387  [125] Move.Joint RopeEncLoc
Time:14:30:39:819  [126] 0 -48.183,-2.825,54.439,-89.508,78.669,13.931,-92.847,0.000,0.000
Time:14:30:39:905  [127] 0
Time:14:30:39:928  [128] 0
Time:14:30:42:677  [128] 1
Time:14:30:46:181  [126] Robot.WhereAngle 1
Time:14:30:46:182  [127] RopeEncLoc=-46.869,-5.222,53.547,-89.507,77.752,16.499,-89.354
Time:14:30:46:182  [128] Move.Joint RopeEncLoc
Time:14:30:52:909  [129] 0 -46.868,-5.220,53.546,-89.508,77.752,16.499,-89.355,0.000,0.000
Time:14:30:52:985  [130] 0
Time:14:30:53:7  [131] 0
Time:14:30:56:449  [131] 1
Time:14:30:58:961  [129] Robot.WhereAngle 1
Time:14:30:58:961  [130] RopeEncLoc=-45.163,-8.544,53.547,-87.680,72.933,17.995,-82.463
Time:14:30:59:472  [131] Move.Joint RopeEncLoc
Time:14:31:6:692  [132] 0 -45.162,-8.543,53.546,-87.680,72.933,17.994,-82.463,0.000,0.000
Time:14:31:6:768  [133] 0
Time:14:31:6:790  [134] 0
Time:14:31:9:909  [134] 1
Time:14:31:12:746  [132] Robot.WhereAngle 1
Time:14:31:12:747  [133] RopeEncLoc=-41.632,-10.607,50.773,-84.760,72.366,19.263,-77.372
Time:14:31:13:260  [134] Move.Joint RopeEncLoc
Time:14:31:20:140  [135] 0 -41.630,-10.605,50.772,-84.758,72.366,19.263,-77.373,0.000,0.000
Time:14:31:20:214  [136] 0
Time:14:31:20:237  [137] 0
Time:14:31:23:388  [137] 1
Time:14:31:26:538  [135] Robot.WhereAngle 1
Time:14:31:26:539  [136] RopeEncLoc=-36.387,-13.703,48.445,-83.658,67.723,19.263,-73.705
Time:14:31:26:540  [137] Move.Joint RopeEncLoc
Time:14:31:33:632  [138] 0 -36.385,-13.701,48.444,-83.657,67.723,19.263,-73.705,0.000,0.000
Time:14:31:33:709  [139] 0
Time:14:31:33:729  [140] 0
Time:14:31:37:126  [140] 1
Time:14:31:39:788  [138] Robot.WhereAngle 1
Time:14:31:39:789  [139] RopeEncLoc=-34.029,-15.485,47.258,-82.763,61.141,18.899,-69.664
Time:14:31:39:789  [140] Move.Joint RopeEncLoc
Time:14:31:47:370  [141] 0 -34.027,-15.483,47.258,-82.763,61.140,18.897,-69.663,0.000,0.000
Time:14:31:47:440  [142] 0
Time:14:31:47:456  [143] 0
Time:14:31:50:485  [143] 1
Time:14:31:53:593  [141] Robot.WhereAngle 1
Time:14:31:53:593  [142] RopeEncLoc=-31.460,-16.535,46.240,-83.061,57.494,23.047,-64.998
Time:14:31:53:594  [143] Move.Joint RopeEncLoc
Time:14:32:0:729  [144] 0 -31.457,-16.533,46.239,-83.061,57.494,23.045,-64.998,0.000,0.000
Time:14:32:0:805  [145] 0
Time:14:32:0:827  [146] 0
Time:14:32:3:565  [146] 1
Time:14:32:6:875  [144] Robot.WhereAngle 1
Time:14:32:6:875  [145] RopeEncLoc=-29.987,-18.366,44.276,-82.358,57.000,24.374,-61.550
Time:14:32:6:876  [146] Move.Joint RopeEncLoc
Time:14:32:13:808  [147] 0 -29.987,-18.364,44.275,-82.357,57.000,24.373,-61.550,0.000,0.000
Time:14:32:13:878  [148] 0
Time:14:32:13:894  [149] 0
Time:14:32:16:710  [149] 1
Time:14:32:20:208  [147] Robot.WhereAngle 1
Time:14:32:20:209  [148] RopeEncLoc=-26.228,-19.733,42.333,-82.810,55.436,26.280,-58.955
Time:14:32:20:209  [149] Move.Joint RopeEncLoc
Time:14:32:26:942  [150] 0 -26.226,-19.732,42.332,-82.809,55.436,26.280,-58.955,0.000,0.000
Time:14:32:27:34  [151] 0
Time:14:32:27:51  [152] 0
Time:14:32:30:2  [152] 1
Time:14:32:32:940  [150] Robot.WhereAngle 1
Time:14:32:33:455  [151] RopeEncLoc=-23.849,-21.091,41.397,-81.979,52.867,27.826,-54.598
Time:14:32:33:455  [152] Move.Joint RopeEncLoc
Time:14:32:40:244  [153] 0 -23.849,-21.089,41.396,-81.978,52.866,27.824,-54.598,0.000,0.000
Time:14:32:40:320  [154] 0
Time:14:32:40:342  [155] 0
Time:14:32:43:684  [155] 1
Time:14:32:46:267  [153] Robot.WhereAngle 1
Time:14:32:46:779  [154] RopeEncLoc=-20.078,-25.815,40.232,-79.755,50.104,30.523,-48.291
Time:14:32:46:780  [155] Move.Joint RopeEncLoc
Time:14:32:53:929  [156] 0 -20.078,-25.812,40.232,-79.755,50.103,30.523,-48.290,0.000,0.000
Time:14:32:54:3  [157] 0
Time:14:32:54:26  [158] 0
Time:14:32:57:77  [158] 1
Time:14:33:0:81  [156] Robot.WhereAngle 1
Time:14:33:0:82  [157] RopeEncLoc=-16.604,-29.173,38.278,-77.022,47.800,33.862,-43.512
Time:14:33:0:82  [158] Move.Joint RopeEncLoc
Time:14:33:7:320  [159] 0 -16.603,-29.171,38.277,-77.022,47.799,33.861,-43.511,0.000,0.000
Time:14:33:7:397  [160] 0
Time:14:33:7:417  [161] 0
Time:14:33:11:296  [161] 1
Time:14:33:13:410  [159] Robot.WhereAngle 1
Time:14:33:13:410  [160] RopeEncLoc=-10.000,-34.363,28.398,-75.170,43.931,37.298,-35.884
Time:14:33:13:411  [161] Move.Joint RopeEncLoc
Time:14:33:21:539  [162] 0 -9.998,-34.362,28.397,-75.169,43.930,37.297,-35.884,0.000,0.000
Time:14:33:21:622  [163] 0
Time:14:33:21:636  [164] 0
Time:14:33:26:598  [164] 1
Time:14:33:27:715  [162] Robot.WhereAngle 1
Time:14:33:27:716  [163] RopeEncLoc=4.003,-37.741,20.941,-79.268,38.625,42.341,-15.248
Time:14:33:27:716  [164] Move.Joint RopeEncLoc
Time:14:33:36:844  [165] 0 4.002,-37.739,20.940,-79.268,38.624,42.340,-15.248,0.000,0.000
Time:14:33:36:907  [166] 0
Time:14:33:36:928  [167] 0
Time:14:33:43:40  [165] Robot.WhereAngle 1
Time:14:33:43:41  [166] RopeEncLoc=-41.214,-18.156,43.914,-88.248,62.625,14.668,-78.622
Time:14:33:43:41  [167] Move.Joint RopeEncLoc
Time:14:33:44:151  [167] 1
Time:14:33:54:394  [168] 0 -41.212,-18.155,43.913,-88.248,62.625,14.669,-78.622,0.000,0.000
Time:14:33:54:467  [169] 0
Time:14:33:54:491  [170] 0
Time:14:33:57:877  [170] 1
Time:14:34:0:411  [168] Robot.WhereAngle 1
Time:14:34:0:924  [169] RopeEncLoc=-39.025,-20.163,42.888,-87.450,56.110,13.269,-74.020
Time:14:34:0:925  [170] Move.Joint RopeEncLoc
Time:14:34:8:109  [171] 0 -39.024,-20.161,42.888,-87.451,56.111,13.269,-74.019,0.000,0.000
Time:14:34:8:186  [172] 0
Time:14:34:8:206  [173] 0
Time:14:34:11:347  [173] 1
Time:14:34:14:217  [171] Robot.WhereAngle 1
Time:14:34:14:218  [172] RopeEncLoc=-36.737,-21.183,41.962,-88.504,52.365,18.510,-70.269
Time:14:34:14:218  [173] Move.Joint RopeEncLoc
Time:14:34:21:579  [174] 0 -36.736,-21.182,41.962,-88.504,52.365,18.510,-70.269,0.000,0.000
Time:14:34:21:657  [175] 0
Time:14:34:21:676  [176] 0
Time:14:34:24:504  [176] 1
Time:14:34:28:42  [174] Robot.WhereAngle 1
Time:14:34:28:43  [175] RopeEncLoc=-35.379,-23.318,39.114,-87.106,52.381,19.196,-66.482
Time:14:34:28:44  [176] Move.Joint RopeEncLoc
Time:14:34:34:768  [177] 0 -35.377,-23.316,39.112,-87.106,52.381,19.194,-66.482,0.000,0.000
Time:14:34:34:840  [178] 0
Time:14:34:34:855  [179] 0
Time:14:34:37:704  [179] 1
Time:14:34:40:851  [177] Robot.WhereAngle 1
Time:14:34:40:853  [178] RopeEncLoc=-31.454,-25.563,37.824,-87.245,50.820,21.116,-63.226
Time:14:34:40:853  [179] Move.Joint RopeEncLoc
Time:14:34:47:960  [180] 0 -31.454,-25.562,37.823,-87.245,50.820,21.114,-63.226,0.000,0.000
Time:14:34:48:32  [181] 0
Time:14:34:48:46  [182] 0
Time:14:34:50:852  [182] 1
Time:14:34:54:126  [180] Robot.WhereAngle 1
Time:14:34:54:126  [181] RopeEncLoc=-28.427,-26.087,35.923,-86.295,47.580,22.102,-59.486
Time:14:34:54:127  [182] Move.Joint RopeEncLoc
Time:14:35:1:85  [183] 0 -28.424,-26.084,35.923,-86.295,47.580,22.100,-59.485,0.000,0.000
Time:14:35:1:154  [184] 0
Time:14:35:1:171  [185] 0
Time:14:35:4:490  [185] 1
Time:14:35:7:412  [183] Robot.WhereAngle 1
Time:14:35:7:413  [184] RopeEncLoc=-25.562,-30.061,35.637,-85.579,45.761,25.288,-53.310
Time:14:35:7:413  [185] Move.Joint RopeEncLoc
Time:14:35:14:734  [186] 0 -25.560,-30.059,35.637,-85.579,45.761,25.288,-53.311,0.000,0.000
Time:14:35:14:817  [187] 0
Time:14:35:14:843  [188] 0
Time:14:35:17:949  [188] 1
Time:14:35:20:729  [186] Robot.WhereAngle 1
Time:14:35:21:241  [187] RopeEncLoc=-21.290,-34.722,33.956,-82.307,42.383,28.099,-48.241
Time:14:35:21:241  [188] Move.Joint RopeEncLoc
Time:14:35:28:205  [189] 0 -21.289,-34.720,33.956,-82.307,42.383,28.098,-48.241,0.000,0.000
Time:14:35:28:276  [190] 0
Time:14:35:28:291  [191] 0
Time:14:35:32:270  [191] 1
Time:14:35:34:506  [189] Robot.WhereAngle 1
Time:14:35:34:506  [190] RopeEncLoc=-15.528,-39.214,23.305,-80.627,38.623,32.200,-40.449
Time:14:35:34:507  [191] Move.Joint RopeEncLoc
Time:14:35:42:513  [192] 0 -15.526,-39.213,23.305,-80.627,38.623,32.198,-40.449,0.000,0.000
